Havaintoasema;Asemakoodi;Latitudi (desimaaliasteita);Longitudi (desimaaliasteita);Alkuhetki;Loppuhetki;Datan luontihetki
Espoo Luukki;100723;60.31439;24.68486;2015-09-15T08:00:00.000Z;2018-08-07T23:59:59.000Z;2018-08-08T06:16:45.684Z
Espoo Lintuvaara 2;104084;60.23942;24.81405;2015-09-15T08:00:00.000Z;2017-12-26T16:00:00.000Z;2018-08-08T06:15:33.762Z
Helsinki Mechelininkatu;106422;60.16558;24.92142;2016-11-05T00:00:00.000Z;2018-08-07T23:59:59.000Z;2018-08-08T06:13:50.195Z
Vantaa Hämeenlinnanväylä;104083;60.27196;24.87451;2015-09-15T08:00:00.000Z;2017-12-26T16:00:00.000Z;2018-08-08T06:16:03.626Z
Kauniainen Kauniaistentie;105405;60.20957;24.72994;2017-12-26T16:00:00.000Z;2018-08-07T23:59:59.000Z;2018-08-08T06:14:43.848Z
Helsinki Mannerheimintie;100742;60.16964;24.93924;2015-09-15T08:00:00.000Z;2017-12-26T16:00:00.000Z;2018-08-08T06:13:27.079Z
Helsinki Kallio 2;100662;60.18739;24.95060;2015-09-15T08:00:00.000Z;2018-08-07T23:59:59.000Z;2018-08-08T06:11:57.802Z
Espoo Olari;106424;60.16997;24.74924;2016-11-05T00:00:00.000Z;2018-08-07T23:59:59.000Z;2018-08-08T06:14:24.242Z
Helsinki Eteläsatama;105406;60.16221;24.95686;2017-12-26T16:00:00.000Z;2018-08-07T23:59:59.000Z;2018-08-08T06:12:56.587Z
Helsinki Mäkelänkatu;100762;60.19644;24.95198;2015-09-15T08:00:00.000Z;2018-08-07T23:59:59.000Z;2018-08-08T06:11:13.160Z
Helsinki Vartiokylä Huivipolku;100803;60.22393;25.10244;2015-09-15T08:00:00.000Z;2018-08-07T23:59:59.000Z;2018-08-08T06:10:22.817Z
Espoo Leppävaara Läkkisepänkuja;100691;60.22024;24.81133;2015-09-15T08:00:00.000Z;2018-08-07T23:59:59.000Z;2018-08-08T06:15:07.813Z
Helsinki Puistola;104088;60.27420;25.05209;2015-09-15T08:00:00.000Z;2017-12-26T16:00:00.000Z;2018-08-08T06:09:48.661Z
Vantaa Itä-Hakkila;104056;60.29175;25.11242;2017-12-26T16:00:00.000Z;2018-08-07T23:59:59.000Z;2018-08-08T06:09:30.322Z
Vantaa Tikkurila Neilikkatie;100763;60.28995;25.03953;2015-09-15T08:00:00.000Z;2018-08-07T23:59:59.000Z;2018-08-08T06:09:15.346Z
Vantaa Lentoasema;104048;60.31406;24.97348;2016-11-05T00:00:00.000Z;2018-08-07T23:59:59.000Z;2018-08-08T06:08:35.816Z
Vantaa Rekola;106423;60.33142;25.07584;2016-11-05T00:00:00.000Z;2018-08-07T23:59:59.000Z;2018-08-08T05:59:39.913Z
Helsinki Mannerheimintie;100742;60.16964;24.93924;2015-09-15T08:00:00.000Z;2018-08-07T23:59:59.000Z;2018-08-08T06:12:38.064Z
